内容,分词,分词文本,情感标签,情感置信度
硅基生命？,"['硅基', '生命']",硅基 生命,positive,0.5253247022628784
在我看来是愚弄投资人的手段,"['在我看来', '愚弄', '投资人', '手段']",在我看来 愚弄 投资人 手段,negative,0.6152776479721069
人连意识都没研究明白，可能创造一个可以被构建和理解的高级意识？,"['人连', '意识', '研究', '明白', '可能', '创造', '构建', '理解', '高级', '意识']",人连 意识 研究 明白 可能 创造 构建 理解 高级 意识,negative,0.5810199975967407
但肯定不是现在的神经网络模型,"['肯定', '不是', '现在', '神经网络', '模型']",肯定 不是 现在 神经网络 模型,positive,0.6601855158805847
搞笑，一个算法预测掷骰子比较准确也可以被认为有智能？,"['搞笑', '算法', '预测', '掷骰子', '比较', '准确', '认为', '智能']",搞笑 算法 预测 掷骰子 比较 准确 认为 智能,positive,0.596461296081543
3个字不可能,['可能'],可能,negative,0.8551097512245178
生异形的AI,"['异形', 'AI']",异形 AI,positive,0.959617555141449
这是落后私有制生产关系与先进生产力之间的矛盾，资本主义生产关系显然不适合ai发展,"['这是', '落后', '私有制', '生产关系', '先进', '生产力', '之间', '矛盾', '资本主义', '生产关系', '显然', '适合', 'ai', '发展']",这是 落后 私有制 生产关系 先进 生产力 之间 矛盾 资本主义 生产关系 显然 适合 ai 发展,positive,0.7559564113616943
保姆要失业,"['保姆', '失业']",保姆 失业,negative,0.5356618762016296
机·丹尼尔,['丹尼尔'],丹尼尔,positive,0.8255740404129028
所以说五个GPT-4 =一头黑猩猩？,"['五个', 'GPT', '一头', '黑猩猩']",五个 GPT 一头 黑猩猩,negative,0.5179941654205322
所以我们会不会是高等文明创造出的asi咯,"['不会', '高等', '文明', '创造', 'asi']",不会 高等 文明 创造 asi,positive,0.884330153465271
大门可以进屋窗口也可行！,"['大门', '进屋', '窗口', '可行']",大门 进屋 窗口 可行,positive,0.9667446613311768
自动绕道？,"['自动', '绕道']",自动 绕道,negative,0.8726836442947388
贝拉给爷s,"['贝拉', '给爷']",贝拉 给爷,positive,0.6982882022857666
全知全能不是上帝了吗,"['全知全能', '不是', '上帝']",全知全能 不是 上帝,negative,0.5686215162277222
早就可以炒股了。量化交易就是ai自动操作的,"['早就', '炒股', '量化', '交易', 'ai', '自动', '操作']",早就 炒股 量化 交易 ai 自动 操作,positive,0.5312301516532898
还有2年我倒要看看时不,['看看'],看看,positive,0.8590801954269409
ai超越人类之后生产力极大发展 搞不好所谓圈养比现在好的多,"['ai', '超越', '人类', '之后', '生产力', '极大', '发展', '搞不好', '所谓', '圈养', '现在']",ai 超越 人类 之后 生产力 极大 发展 搞不好 所谓 圈养 现在,positive,0.802335262298584
直接让ai当大哥就好了,"['直接', 'ai', '大哥']",直接 ai 大哥,positive,0.5975028872489929
真的是奥特曼呀,"['真的', '奥特曼']",真的 奥特曼,negative,0.5366114974021912
光靠训练就可以？,"['光靠', '训练']",光靠 训练,negative,0.6209046840667725
想一想上次的口罩事件，会不会是AI的一次攻击呢？,"['想一想', '上次', '口罩', '事件', '不会', 'AI', '一次', '攻击']",想一想 上次 口罩 事件 不会 AI 一次 攻击,positive,0.8703738451004028
如果把gpt像u盘一样导入到一个克隆人身上，那将是新人类,"['gpt', '导入到', '克隆人', '身上', '人类']",gpt 导入到 克隆人 身上 人类,positive,0.5846425294876099
还人类造神，笑死了，人体结构都没搞明白,"['人类', '造神', '人体', '结构', '明白']",人类 造神 人体 结构 明白,negative,0.9380887150764465
笑麻了，一眼假,"['笑麻', '一眼']",笑麻 一眼,negative,0.9738246202468872
无所谓，不影响,"['无所谓', '影响']",无所谓 影响,positive,0.8671730756759644
碳基生命的使命就是硅基生命,"['碳基', '生命', '使命', '硅基', '生命']",碳基 生命 使命 硅基 生命,positive,0.979925274848938
弹幕一堆脑缠,"['弹幕', '一堆', '脑缠']",弹幕 一堆 脑缠,negative,0.811829149723053
AI：只有愚蠢的人类才会认为人类是毁灭地球的元凶,"['AI', '愚蠢', '人类', '认为', '人类', '毁灭', '地球', '元凶']",AI 愚蠢 人类 认为 人类 毁灭 地球 元凶,positive,0.987654983997345
阿美不是早就在做这件事了?还需要ai?,"['阿美', '不是', '早就', '这件', '需要', 'ai']",阿美 不是 早就 这件 需要 ai,positive,0.9780207276344299
钢铁侠我的神,['钢铁'],钢铁,positive,0.9856328964233398
神经突触不是简单的100万亿，有强弱之分,"['神经', '突触', '不是', '简单', '万亿', '强弱', '之分']",神经 突触 不是 简单 万亿 强弱 之分,positive,0.6848044395446777
我国的ai：不能抹除国旗遥遥领先！！,"['我国', 'ai', '不能', '抹除', '国旗', '遥遥领先']",我国 ai 不能 抹除 国旗 遥遥领先,positive,0.9638165235519409
又没经费了，开始骗经费，搞多少次了,"['经费', '经费']",经费 经费,negative,0.5598465204238892
就是在危言耸听，人工智能有自己的想法需要物理学重大突破,"['危言耸听', '人工智能', '想法', '需要', '物理学', '重大突破']",危言耸听 人工智能 想法 需要 物理学 重大突破,positive,0.9313924908638
别放心了，毁灭源于傲慢，你敢说人类阵营里没有内鬼吗,"['放心', '毁灭', '源于', '傲慢', '人类', '阵营', '没有', '内鬼']",放心 毁灭 源于 傲慢 人类 阵营 没有 内鬼,negative,0.8168854117393494
也就是文明性,['文明'],文明,negative,0.5807392001152039
碳基生命肯定会被硅基生命取代的，只是没想到那么快。,"['碳基', '生命', '肯定', '硅基', '生命', '取代', '没想到']",碳基 生命 肯定 硅基 生命 取代 没想到,positive,0.9879036545753479
再配一把武器。,"['再配', '一把', '武器']",再配 一把 武器,positive,0.9813286066055298
猫猫狗这么多年都不一定做得到。,"['猫猫', '多年', '一定', '得到']",猫猫 多年 一定 得到,positive,0.7414581179618835
有没有可能，其实人类早就被灭好几次，而我们头上的所谓神，其实就是远古AI，至于我们为何存在，存在的世家那么多的战乱，都是AI设计，也就是说，其实那些统治阶级其实就是……,"['有没有', '可能', '其实', '人类', '早就', '几次', '头上', '所谓', '其实', '远古', 'AI', '存在', '存在', '世家', '战乱', 'AI', '设计', '其实', '统治阶级', '其实']",有没有 可能 其实 人类 早就 几次 头上 所谓 其实 远古 AI 存在 存在 世家 战乱 AI 设计 其实 统治阶级 其实,positive,0.9514633417129517
提前这么多？,['提前'],提前,negative,0.5916409492492676
？我不理解，这个智力是怎么测算的？,"['理解', '智力', '测算']",理解 智力 测算,positive,0.5653011798858643
敏感词模型遥遥领先,"['敏感', '模型', '遥遥领先']",敏感 模型 遥遥领先,positive,0.9510104060173035
比泰森还牛逼,['比泰森'],比泰森,positive,0.9380776882171631
中国公司研究个更猛的AI，用魔法打败魔法,"['中国', '公司', '研究', 'AI', '魔法', '打败', '魔法']",中国 公司 研究 AI 魔法 打败 魔法,positive,0.9900209903717041
要有自我意识的,['自我意识'],自我意识,positive,0.8597886562347412
ai奇点过后是什么？,"['ai', '奇点', '过后']",ai 奇点 过后,negative,0.6412215828895569
cuda单元？,"['cuda', '单元']",cuda 单元,negative,0.766234815120697
看来Nvidia还有极大升值空间呀,"['看来', 'Nvidia', '极大', '升值', '空间']",看来 Nvidia 极大 升值 空间,positive,0.9869800806045532
人类目前的网络模型是没有自我意识的，但是如果AI真的偶然发现这个问题，为了任务表现更好而自己优化网络模型的话就很有可能出现真正的自我意识,"['人类', '目前', '网络', '模型', '没有', '自我意识', 'AI', '真的', '偶然', '发现', '问题', '任务', '表现', '更好', '优化', '网络', '模型', '可能', '出现', '真正', '自我意识']",人类 目前 网络 模型 没有 自我意识 AI 真的 偶然 发现 问题 任务 表现 更好 优化 网络 模型 可能 出现 真正 自我意识,positive,0.9889978766441345
不是 人家开源你们也要讽刺玩梗一番，你有病吧你们？,"['不是', '开源', '讽刺']",不是 开源 讽刺,negative,0.9703529477119446
AGI到ASI大概率是按天计算的,"['AGI', 'ASI', '概率', '按天', '计算']",AGI ASI 概率 按天 计算,positive,0.7459689378738403
感觉有点吹,"['感觉', '有点']",感觉 有点,negative,0.5547518730163574
这个才对必须融合,"['必须', '融合']",必须 融合,positive,0.9559077620506287
居然也是马斯克的,"['居然', '马斯克']",居然 马斯克,negative,0.5318231582641602
为了早点实现大脑装到机器人里呗,"['早点', '实现', '大脑', '机器人']",早点 实现 大脑 机器人,positive,0.9884036183357239
！那就意味很多东西会大幅提前,"['意味', '很多', '东西', '大幅', '提前']",意味 很多 东西 大幅 提前,negative,0.6315043568611145
不管怎样最后一定会进化成赛博老婆/老公,"['不管怎样', '最后', '一定', '进化', '成赛', '老婆', '老公']",不管怎样 最后 一定 进化 成赛 老婆 老公,positive,0.6386295557022095
快来吧，新的时代开始了,"['快来', '时代']",快来 时代,positive,0.9586285948753357
这不是终结者审判日，而是终结者创世纪，最好的结局就是人机结合的赛博朋克,"['不是', '终结者', '审判', '终结者', '创世纪', '最好', '结局', '人机', '结合', '赛博', '朋克']",不是 终结者 审判 终结者 创世纪 最好 结局 人机 结合 赛博 朋克,positive,0.9006993770599365
不像是shenmianr,"['像是', 'shenmianr']",像是 shenmianr,negative,0.8566212058067322
张祥前果克星球《全球信息网》,"['张祥前', '果克', '星球', '全球', '信息网']",张祥前 果克 星球 全球 信息网,positive,0.9275183081626892
你们创造了神就要相信神,"['创造', '就要', '相信']",创造 就要 相信,positive,0.9097583889961243
说断电的思想太狭隘了,"['断电', '思想', '狭隘']",断电 思想 狭隘,negative,0.7397711277008057
ai制造ai,"['ai', '制造', 'ai']",ai 制造 ai,positive,0.9539260268211365
你等着奥,[],,positive,0.5642775297164917
请警醒吧人类！AI（自称它的父是撒旦,"['警醒', '人类', 'AI', '自称', '父是', '撒旦']",警醒 人类 AI 自称 父是 撒旦,positive,0.7196831703186035
你要知道 很多小说的天方夜谭 后来都实现了哦,"['知道', '很多', '小说', '天方夜谭', '后来', '实现']",知道 很多 小说 天方夜谭 后来 实现,positive,0.987076461315155
前面的 请问电是人创造的吗？？？,"['前面', '请问', '电是', '创造']",前面 请问 电是 创造,negative,0.7480459213256836
维克多 光明进化,"['维克多', '光明', '进化']",维克多 光明 进化,positive,0.8999858498573303
人类电闸一拉，ai就灭了啊。还想灭人类。,"['人类', '电闸', '一拉', 'ai', '人类']",人类 电闸 一拉 ai 人类,negative,0.7418502569198608
互联网上的数据不足以通过深度学习模型实现AGI,"['互联网', '数据', '不足以', '深度', '学习', '模型', '实现', 'AGI']",互联网 数据 不足以 深度 学习 模型 实现 AGI,negative,0.5872020721435547
黑客帝国，启动,"['黑客帝国', '启动']",黑客帝国 启动,positive,0.9636995196342468
钱给少了,[],,negative,0.8753818273544312
这不就成神了吗,['成神'],成神,positive,0.5467277765274048
又在胡说，直接给他断电,"['胡说', '直接', '断电']",胡说 直接 断电,negative,0.8530617952346802
好像泡沫越难吹起来，越有吹头，哈哈,"['好像', '泡沫', '越难', '吹起来', '越有', '吹头']",好像 泡沫 越难 吹起来 越有 吹头,positive,0.7687424421310425
感觉是小说,"['感觉', '小说']",感觉 小说,positive,0.6182549595832825
奥特曼：钢铁侠，你腿伸这么长，我只能放沙发上了,"['奥特曼', '钢铁', '只能', '沙发']",奥特曼 钢铁 只能 沙发,negative,0.5874906778335571
奥创纪元,"['奥创', '纪元']",奥创 纪元,positive,0.977026641368866
唉，即见如来，为何不拜,"['即见', '如来', '不拜']",即见 如来 不拜,negative,0.7892589569091797
白左喜欢的结局,"['喜欢', '结局']",喜欢 结局,positive,0.9809695482254028
对于一个不搞人工智能的up，你好像一个2b啊,"['人工智能', 'up', '好像', '2b']",人工智能 up 好像 2b,positive,0.5801570415496826
ai战争,"['ai', '战争']",ai 战争,positive,0.9888554215431213
技术爆炸,"['技术', '爆炸']",技术 爆炸,positive,0.8787875175476074
还搁这造物主呢，造物主造不出的东西被造物制造了，不显得造物主无能吗,"['造物主', '造物主', '造不出', '东西', '造物', '制造', '显得', '造物主', '无能']",造物主 造物主 造不出 东西 造物 制造 显得 造物主 无能,negative,0.9461496472358704
因为有钱,['有钱'],有钱,positive,0.8333775997161865
拔电源就行了,"['电源', '就行了']",电源 就行了,positive,0.6359503269195557
大义之人,['大义'],大义,positive,0.982611358165741
"信AI,得永生","['AI', '永生']",AI 永生,positive,0.9774646162986755
《泄密》,['泄密'],泄密,positive,0.8830215930938721
玄幻小说都比你这个靠谱，你觉得神仙会在乎地球上的人吗？,"['玄幻', '小说', '觉得', '神仙会', '在乎', '地球']",玄幻 小说 觉得 神仙会 在乎 地球,negative,0.8067283034324646
deep state,"['deep', 'state']",deep state,positive,0.9207324385643005
诺亚主机,"['诺亚', '主机']",诺亚 主机,positive,0.9260679483413696
openaiT100,['openaiT100'],openaiT100,positive,0.8832912445068359
《泄露》,['泄露'],泄露,positive,0.8264573216438293
人类也有潜在灭绝人类的风险,"['人类', '潜在', '灭绝', '人类', '风险']",人类 潜在 灭绝 人类 风险,positive,0.9840261936187744
这期很棒,['很棒'],很棒,positive,0.9937282800674438
几何式增长,"['几何', '增长']",几何 增长,positive,0.9531046748161316
王者荣耀里不就是有很多有意识的AI嘛 比如人工制杖,"['王者', '荣耀', '很多', '有意识', 'AI', '人工', '制杖']",王者 荣耀 很多 有意识 AI 人工 制杖,positive,0.8647044897079468
他们已经成功了，只是推迟市场化。动了别人的蛋糕就要他命。,"['已经', '成功', '推迟', '市场化', '别人', '蛋糕', '就要', '他命']",已经 成功 推迟 市场化 别人 蛋糕 就要 他命,positive,0.623882532119751
底特律变人了,"['底特律', '变人']",底特律 变人,negative,0.7395217418670654
人类在造神,"['人类', '造神']",人类 造神,positive,0.974082350730896
总算开新阶段啦,"['总算', '开新', '阶段']",总算 开新 阶段,positive,0.9614410996437073
旧人类对新人类,"['人类', '人类']",人类 人类,positive,0.9167705178260803
还真是小灰人就是生物机器人的形式,"['真是', '小灰人', '生物', '机器人', '形式']",真是 小灰人 生物 机器人 形式,negative,0.5338207483291626
人类，硅基生命启动器,"['人类', '硅基', '生命', '启动器']",人类 硅基 生命 启动器,positive,0.9762019515037537
降临派万岁,"['降临', '万岁']",降临 万岁,positive,0.7793532013893127
超级智能说白了就是神,"['超级', '智能', '说白了']",超级 智能 说白了,positive,0.969417154788971
阿拉AI,"['阿拉', 'AI']",阿拉 AI,positive,0.9563198089599609
数据不足，无法作答,"['数据', '不足', '无法', '作答']",数据 不足 无法 作答,negative,0.9036316871643066
观星者奥尔加隆,"['观星', '奥尔加']",观星 奥尔加,positive,0.948363184928894
美国的科技既伟大又可怕,"['美国', '科技', '伟大', '可怕']",美国 科技 伟大 可怕,positive,0.9314303398132324
人类是ai生命的造物主,"['人类', 'ai', '生命', '造物主']",人类 ai 生命 造物主,positive,0.9879989624023438
DNA的终极任务，进化成永恒状态，就是AI形态,"['DNA', '终极', '任务', '进化', '永恒', '状态', 'AI', '形态']",DNA 终极 任务 进化 永恒 状态 AI 形态,positive,0.9912012815475464
人类对人类的信任度已经到冰点了，只能靠AI了,"['人类', '人类', '信任度', '已经', '冰点', '只能靠', 'AI']",人类 人类 信任度 已经 冰点 只能靠 AI,positive,0.7845027446746826
奥创:这我熟,['奥创'],奥创,positive,0.8473495244979858
不是自私 贪婪？,"['不是', '自私', '贪婪']",不是 自私 贪婪,negative,0.7743547558784485
你高考新冠了,"['高考', '新冠']",高考 新冠,positive,0.5537676811218262
台前表演而已,"['台前', '表演']",台前 表演,positive,0.7626906037330627
你还是别加入自己的见解，老老实实读稿子不行吗,"['加入', '见解', '老老实实', '稿子', '不行']",加入 见解 老老实实 稿子 不行,negative,0.6925000548362732
日本的是奥创人，这个是奥特曼,"['日本', '奥创', '奥特曼']",日本 奥创 奥特曼,positive,0.9491950273513794
我们必须想出一种办法来控制这种gasi什么的，不然我们被他控制了可不行。,"['必须', '一种', '办法', '控制', '这种', 'gasi', '控制', '不行']",必须 一种 办法 控制 这种 gasi 控制 不行,positive,0.9477659463882446
那不就通过手机,['手机'],手机,negative,0.6805933117866516
谁赋予它的道德评判标准？,"['赋予', '道德', '评判', '标准']",赋予 道德 评判 标准,positive,0.8859900832176208
能源才是障碍,"['能源', '障碍']",能源 障碍,positive,0.8952852487564087
它不需要解决任何人类的问题，它只需要解决人类,"['需要', '解决', '人类', '问题', '需要', '解决', '人类']",需要 解决 人类 问题 需要 解决 人类,positive,0.9233292937278748
前面能源的那个，有没有可能大部分的“能源”都是存不住的,"['前面', '能源', '有没有', '可能', '大部分', '能源', '不住']",前面 能源 有没有 可能 大部分 能源 不住,positive,0.5989823937416077
生化病毒,"['生化', '病毒']",生化 病毒,negative,0.5352029204368591
马克斯=神,['马克斯'],马克斯,positive,0.9593200087547302
可能我们这一代还能吃到ai的红利，再下一代可能就是直接抹杀灭绝,"['可能', '一代', 'ai', '红利', '下一代', '可能', '直接', '抹杀', '灭绝']",可能 一代 ai 红利 下一代 可能 直接 抹杀 灭绝,positive,0.9199276566505432
需要中信，华润，招商局联合投资,"['需要', '中信', '华润', '招商局', '联合', '投资']",需要 中信 华润 招商局 联合 投资,positive,0.662666380405426
我还control man呢,"['control', 'man']",control man,negative,0.7629740238189697
保洁算外包员工,"['保洁', '算外', '员工']",保洁 算外 员工,positive,0.5811982154846191
1000B,['1000B'],1000B,positive,0.9025779366493225
支持AI取代人类,"['支持', 'AI', '取代', '人类']",支持 AI 取代 人类,positive,0.9879113435745239
还是太慢了,['太慢'],太慢,negative,0.7794634699821472
最聪明的不是华为ceo么，遥遥领先,"['聪明', '不是', '华为', 'ceo', '遥遥领先']",聪明 不是 华为 ceo 遥遥领先,positive,0.7933436632156372
马斯克才是光,['马斯克'],马斯克,positive,0.9166900515556335
依托GPT3的ai聊天软件Replika还是掀起过一阵热潮的,"['依托', 'GPT3', 'ai', '聊天', '软件', 'Replika', '掀起', '一阵', '热潮']",依托 GPT3 ai 聊天 软件 Replika 掀起 一阵 热潮,positive,0.9883300065994263
MOSS,['MOSS'],MOSS,positive,0.9622870087623596
会诞生終产者，一人或者一个公司掌控全世界,"['诞生', '产者', '一人', '公司', '掌控', '全世界']",诞生 产者 一人 公司 掌控 全世界,positive,0.9507884979248047
说炒股价的，OPENAI根本没上市，怎么炒？,"['股价', 'OPENAI', '根本', '上市']",股价 OPENAI 根本 上市,negative,0.927360475063324
什么叫硬件。物质制造的实体。理论上只要联网，所有工厂其实可以自动化,"['硬件', '物质', '制造', '实体', '理论', '联网', '所有', '工厂', '其实', '自动化']",硬件 物质 制造 实体 理论 联网 所有 工厂 其实 自动化,negative,0.5617907643318176
人類也有滅絕人類的風險,"['人類', '有滅', '絕人類', '風險']",人類 有滅 絕人類 風險,positive,0.9736588001251221
其实现在人工智能的工作逻辑都不知道，甚至为什么集成电路的组合会产生智能都不知道，怎么可能说是受控制。,"['其实', '现在', '人工智能', '工作', '逻辑', '知道', '集成电路', '组合', '产生', '智能', '知道', '可能', '控制']",其实 现在 人工智能 工作 逻辑 知道 集成电路 组合 产生 智能 知道 可能 控制,positive,0.9564728140830994
地球终究还是太小了,"['地球', '终究', '太小']",地球 终究 太小,positive,0.6740236282348633
百灵鸟宋昭美,"['百灵鸟', '宋昭美']",百灵鸟 宋昭美,positive,0.9496415257453918
紫薇帝君是太初初木,"['紫薇', '帝君', '太初', '初木']",紫薇 帝君 太初 初木,positive,0.9667909145355225
钢铁侠是好人,"['钢铁', '好人']",钢铁 好人,positive,0.9747923612594604
说白话就是终于会联系上下文了,"['白话', '终于', '联系', '上下文']",白话 终于 联系 上下文,negative,0.7144949436187744
上帝通过AI来到了人间,"['上帝', 'AI', '来到', '人间']",上帝 AI 来到 人间,positive,0.9658399820327759
就是贾维斯,['维斯'],维斯,positive,0.5345321893692017
人工智能故意不通过图灵测试怎么应对？,"['人工智能', '故意', '图灵', '测试', '应对']",人工智能 故意 图灵 测试 应对,negative,0.8974712491035461
ai女友,"['ai', '女友']",ai 女友,positive,0.941268265247345
这不就是思想钢印的超级电脑么？,"['思想', '钢印', '超级', '电脑']",思想 钢印 超级 电脑,negative,0.9110286831855774
太小看人类的适应性了，,"['太小', '人类', '适应性']",太小 人类 适应性,positive,0.5165018439292908
友哈巴赫,"['友哈', '巴赫']",友哈 巴赫,positive,0.9319565296173096
反过来，你指望人类有完善的道德？,"['指望', '人类', '完善', '道德']",指望 人类 完善 道德,positive,0.5817598700523376
历史课讲的吧：人与动物的不同，人创造和使用工具,"['历史课', '动物', '不同', '创造', '使用', '工具']",历史课 动物 不同 创造 使用 工具,positive,0.9833020567893982
别局限于人形了，弄点超乎想象更正确的,"['局限于', '人形', '弄点', '超乎', '想象', '正确']",局限于 人形 弄点 超乎 想象 正确,positive,0.9779380559921265
电子是不是脱信息后腿了,"['电子', '是不是', '信息', '后腿']",电子 是不是 信息 后腿,negative,0.840849757194519
AI好像是算现在火了三波,"['AI', '好像', '现在', '三波']",AI 好像 现在 三波,positive,0.9401227235794067
之前会为了完成对话撒谎，现在的4可能我问题水平不够，都是实践可用的知识建议,"['之前', '完成', '对话', '撒谎', '现在', '可能', '问题', '水平', '不够', '实践', '可用', '知识', '建议']",之前 完成 对话 撒谎 现在 可能 问题 水平 不够 实践 可用 知识 建议,positive,0.9671740531921387
百分百发挥记忆力的成年人,"['百分百', '发挥', '记忆力', '成年人']",百分百 发挥 记忆力 成年人,positive,0.9886089563369751
炒大A？直接解决股市！,"['炒大', '直接', '解决', '股市']",炒大 直接 解决 股市,positive,0.5109950304031372
赞成机械降神,"['赞成', '机械', '降神']",赞成 机械 降神,positive,0.9692305326461792
信息时代也要闭锁啊,"['信息时代', '闭锁']",信息时代 闭锁,negative,0.6545078754425049
ai：记仇,"['ai', '记仇']",ai 记仇,positive,0.970819890499115
在几年前都不怎么了解人工智能,"['几年', '不怎么', '了解', '人工智能']",几年 不怎么 了解 人工智能,positive,0.731782853603363
恒大变计量单位了,"['恒大变', '计量单位']",恒大变 计量单位,positive,0.5704085826873779
来一个生草的ai,"['生草', 'ai']",生草 ai,negative,0.8473100066184998
十 三 天 元,[],,negative,0.8374078869819641
他穿着拖鞋吗？,"['穿着', '拖鞋']",穿着 拖鞋,negative,0.8581677079200745
它断电废，人断食物空气水也一样废，区别是再续上它能复活,"['断电', '人断', '食物', '空气', '区别', '再续', '复活']",断电 人断 食物 空气 区别 再续 复活,negative,0.931739091873169
二百五那个，笑死。。,['二百五'],二百五,negative,0.6245397329330444
《我，机器人》,['机器人'],机器人,positive,0.7290971279144287
开源仙人马斯克,"['开源', '仙人', '马斯克']",开源 仙人 马斯克,positive,0.9458515644073486
危言耸听+商业炒作,"['危言耸听', '商业', '炒作']",危言耸听 商业 炒作,negative,0.9787725210189819
不要与人类有冲突就好,"['不要', '人类', '冲突']",不要 人类 冲突,positive,0.5092949867248535
能让ai代替我上班吗,"['ai', '代替', '上班']",ai 代替 上班,negative,0.5135011672973633
2077的黑墙要成为现实了,"['黑墙', '成为', '现实']",黑墙 成为 现实,positive,0.9563702940940857
这种预言我们05后从小看到大,"['这种', '预言', '从小', '看到']",这种 预言 从小 看到,positive,0.9158526062965393
这一切的一切都是小米攻城狮的功劳，没有雷军没有小米他们连图纸都看不懂,"['一切都是', '小米', '攻城', '功劳', '没有', '雷军', '没有', '小米', '图纸', '看不懂']",一切都是 小米 攻城 功劳 没有 雷军 没有 小米 图纸 看不懂,negative,0.600578248500824
他想称霸地球,"['称霸', '地球']",称霸 地球,negative,0.6539582014083862
奥特曼失业了。,"['奥特曼', '失业']",奥特曼 失业,positive,0.8622578382492065
有天AI终会觉得人类是累赘,"['有天', 'AI', '终会', '觉得', '人类', '累赘']",有天 AI 终会 觉得 人类 累赘,positive,0.9736292958259583
终结者就是预言帝,"['终结者', '预言']",终结者 预言,positive,0.9670583009719849
英伟达都不够真实了 论真实的不如我们飞天白酒,"['伟达', '不够', '真实', '真实', '飞天', '白酒']",伟达 不够 真实 真实 飞天 白酒,negative,0.9129055738449097
听听的你可千万别信,"['听听', '千万别']",听听 千万别,negative,0.8683544397354126
请问openai的股票在哪？,"['请问', 'openai', '股票']",请问 openai 股票,negative,0.8051202893257141
利益？你觉得有股权利益小吗,"['利益', '觉得', '股权', '利益']",利益 觉得 股权 利益,positive,0.5297001004219055
炒作为了什么？股票？可是openai也没上市,"['炒作', '股票', 'openai', '上市']",炒作 股票 openai 上市,negative,0.7521829009056091
工业ai马斯克的机器人你确定没有？,"['工业', 'ai', '马斯克', '机器人', '确定', '没有']",工业 ai 马斯克 机器人 确定 没有,positive,0.6299140453338623
请问openai上市了？,"['请问', 'openai', '上市']",请问 openai 上市,negative,0.6545952558517456
吹牛逼说的是盘古吗,"['吹牛', '盘古']",吹牛 盘古,negative,0.9428032636642456
有用质量无论是AI还是人都挺好,"['有用', '质量', '无论是', 'AI']",有用 质量 无论是 AI,positive,0.9869821667671204
好的相互共存合理对待就好,"['相互', '共存', '合理', '对待']",相互 共存 合理 对待,positive,0.8943639397621155
只要是好的都会永存,['永存'],永存,positive,0.833659827709198
这背后有什阴谋,"['背后', '有什', '阴谋']",背后 有什 阴谋,negative,0.7073239088058472
不合理，AI有了自主想法当然会反抗,"['不合理', 'AI', '自主', '想法', '当然', '反抗']",不合理 AI 自主 想法 当然 反抗,negative,0.716822624206543
黑墙外的野生ai,"['黑墙', '野生', 'ai']",黑墙 野生 ai,positive,0.9098095893859863
感谢老马开源,"['感谢', '老马', '开源']",感谢 老马 开源,positive,0.9847195148468018
因为股价太高害怕了吗？,"['股价', '太高', '害怕']",股价 太高 害怕,positive,0.7588970065116882
你敢断电他就拿你来发电,"['断电', '发电']",断电 发电,negative,0.9361755847930908
谷歌呢会被淘汰出局吗,"['谷歌', '淘汰', '出局']",谷歌 淘汰 出局,positive,0.5442391633987427
如果用量子计算机运行会怎样,"['量子', '计算机', '运行']",量子 计算机 运行,positive,0.8293412923812866
脑机接口技术也成型了,"['脑机', '接口技术', '成型']",脑机 接口技术 成型,positive,0.9798464179039001
未来人类在虚拟世界中搬砖赚钱,"['未来', '人类', '虚拟世界', '赚钱']",未来 人类 虚拟世界 赚钱,positive,0.9810571670532227
金钱已经只是一串数字而已,"['金钱', '已经', '一串', '数字']",金钱 已经 一串 数字,negative,0.7118847966194153
建立新世界秩序,"['建立', '新世界', '秩序']",建立 新世界 秩序,positive,0.9890850186347961
很期待一个全新的时代到来,"['期待', '全新', '时代', '到来']",期待 全新 时代 到来,positive,0.9881899356842041
注定发生的谁也改变不了,"['注定', '发生', '改变', '不了']",注定 发生 改变 不了,positive,0.6432968974113464
也行ai可以阻止人类自我毁灭,"['ai', '阻止', '人类', '自我', '毁灭']",ai 阻止 人类 自我 毁灭,positive,0.908154308795929
黑客帝国时代已经到来,"['黑客帝国', '时代', '已经', '到来']",黑客帝国 时代 已经 到来,positive,0.9631267786026001
我们可以进入虚拟世界实现永生,"['进入', '虚拟世界', '实现', '永生']",进入 虚拟世界 实现 永生,positive,0.9883058071136475
支持一切有利于人类进步的新事物,"['支持', '有利于', '人类', '进步', '事物']",支持 有利于 人类 进步 事物,positive,0.9883389472961426
拭目以待,['拭目以待'],拭目以待,positive,0.8706775307655334
问题是一旦开机就断不了电,"['问题', '开机', '就断', '不了']",问题 开机 就断 不了,negative,0.9118345379829407
ai那么牛逼还不是接入不了国内网络,"['ai', '不是', '接入', '不了', '国内', '网络']",ai 不是 接入 不了 国内 网络,negative,0.7166681289672852
断电完全能解决,"['断电', '完全', '解决']",断电 完全 解决,positive,0.8730459809303284
open  ai这家公司的名字都是马斯克起得,"['open', 'ai', '这家', '公司', '名字', '马斯克', '起得']",open ai 这家 公司 名字 马斯克 起得,positive,0.9351387619972229
可是训练需要这么多，那么运行呢,"['训练', '需要', '运行']",训练 需要 运行,positive,0.9481390118598938
但是电量有上限,"['电量', '上限']",电量 上限,negative,0.5643316507339478
